Time	Body	XP	YP	ZP	FX	FY	FZ	Body	XP	YP	ZP	FX	FY	FZ	Body	XP	YP	ZP	FX	FY	FZ
3.99999999999999748e-03	BoneTrunk	-1.65748596223349934e-02	4.77847383019353034e-02	7.38509952893201982e-01	-1.11113009643668718e+02	1.11251570029305367e+03	-2.51718698252850163e+03	BoneLeftThigh	-1.24301467642423495e-02	1.23860143068944453e-01	5.67981674234765532e-01	-8.36963229244479407e+02	-1.11251570029476761e+03	2.37656663252092676e+03	BoneLeftThigh	7.42488793250881476e-03	1.10104674337658553e-01	6.01916655550194912e-01	9.48076238888148055e+02	1.71399844197877107e-09	1.40620350007575098e+02
4.09999999999999774e-03	BoneTrunk	-1.65748596223284500e-02	4.77847383018178487e-02	7.38509952893461996e-01	-1.10885894544642156e+02	1.11031936704182635e+03	-2.51204203274047904e+03	BoneLeftThigh	-1.24437634647883016e-02	1.23860143069055670e-01	5.67989642615460477e-01	-8.34300666046468564e+02	-1.11031936704353188e+03	2.37204410888467964e+03	BoneLeftThigh	7.42488825764417437e-03	1.10106371429552818e-01	6.01916653070559748e-01	9.45186560591110833e+02	1.70545641714136017e-09	1.39997923855799371e+02
4.19999999999999801e-03	BoneTrunk	-1.65748596223219136e-02	4.77847383017007271e-02	7.38509952893721455e-01	-1.10659994483019972e+02	1.10813674733441553e+03	-2.50692461180085229e+03	BoneLeftThigh	-1.24577025372333734e-02	1.23860143069166567e-01	5.67997807243683983e-01	-8.31628274870029486e+02	-1.10813674733611333e+03	2.36755381270727776e+03	BoneLeftThigh	7.42488858902824386e-03	1.10108109358615786e-01	6.01916650528702357e-01	9.42288269353049600e+02	1.69784724624263468e-09	1.39370799093574362e+02
4.29999999999999827e-03	BoneTrunk	-1.65748596223154049e-02	4.77847383015840080e-02	7.38509952893980359e-01	-1.10435298641758237e+02	1.10596772103034345e+03	-2.50183447455202077e+03	BoneLeftThigh	-1.24719630808735743e-02	1.23860143069277076e-01	5.68006168130601341e-01	-8.28946118994180893e+02	-1.10596772103203352e+03	2.36309543291078899e+03	BoneLeftThigh	7.42488892646709156e-03	1.10109888059544136e-01	6.01916647924991333e-01	9.39381417635938988e+02	1.69025674472021049e-09	1.38739041641232461e+02
4.39999999999999853e-03	BoneTrunk	-1.65748596223089101e-02	4.77847383014677746e-02	7.38509952894238375e-01	-1.10211796337141934e+02	1.10381216947521762e+03	-2.49677137885675347e+03	BoneLeftThigh	-1.24865441933566142e-02	1.23860143069387169e-01	5.68014725297472656e-01	-8.26254260871769816e+02	-1.10381216947689859e+03	2.35866866149479438e+03	BoneLeftThigh	7.42488926976440575e-03	1.10111707467838160e-01	6.01916645259791272e-01	9.36466057208911593e+02	1.68086591690778983e-09	1.38102717361958753e+02
4.49999999999999879e-03	BoneTrunk	-1.65748596223024430e-02	4.77847383013520477e-02	7.38509952894495503e-01	-1.09989477019225234e+02	1.10166997550292058e+03	-2.49173508560827577e+03	BoneLeftThigh	-1.25014449706650869e-02	1.23860143069496734e-01	5.68023478775567692e-01	-8.23552762161880196e+02	-1.10166997550459428e+03	2.35427319354362407e+03	BoneLeftThigh	7.42488961872153283e-03	1.10113567519795827e-01	6.01916642533463886e-01	9.33542239181105401e+02	1.67377488594895902e-09	1.37461892064651835e+02
4.59999999999999905e-03	BoneTrunk	-1.65748596222960037e-02	4.77847383012368759e-02	7.38509952894751520e-01	-1.09768330267343018e+02	1.09954102338842335e+03	-2.48672535862854011e+03	BoneLeftThigh	-1.25166645070992621e-02	1.23860143069605799e-01	5.68032428606080941e-01	-8.20841683724673658e+02	-1.09954102339008887e+03	2.34990872712799228e+03	BoneLeftThigh	7.42488997313751897e-03	1.10115468152507112e-01	6.01916639746367332e-01	9.30610013992016547e+02	1.66549531443809146e-09	1.36816631500547572e+02
4.69999999999999932e-03	BoneTrunk	-1.65748596222895853e-02	4.77847383011223009e-02	7.38509952895006427e-01	-1.09548345790398216e+02	1.09742519884849980e+03	-2.48174196467478305e+03	BoneLeftThigh	-1.25322018952598105e-02	1.23860143069714310e-01	5.68041574840047803e-01	-8.18121085651572116e+02	-1.09742519885015759e+03	2.34557496330897948e+03	BoneLeftThigh	7.42489033280915520e-03	1.10117409303848196e-01	6.01916636898856106e-01	9.27669431441970460e+02	1.65769337781806924e-09	1.36167001365803486e+02
4.79999999999999958e-03	BoneTrunk	-1.65748596222832015e-02	4.77847383010083296e-02	7.38509952895260224e-01	-1.09329513422461119e+02	1.09532238899551771e+03	-2.47678467333982144e+03	BoneLeftThigh	-1.25480562260302103e-02	1.23860143069822237e-01	5.68050917538261202e-01	-8.15391027259833891e+02	-1.09532238899716685e+03	2.34127160604163601e+03	BoneLeftThigh	7.42489069753101208e-03	1.10119390912475662e-01	6.01916633991281591e-01	9.24720540682294995e+02	1.64916408382145935e-09	1.35513067298185661e+02
4.89999999999999984e-03	BoneTrunk	-1.65748596222768455e-02	4.77847383008949828e-02	7.38509952895512911e-01	-1.09111823122443809e+02	1.09323248233208756e+03	-2.47185325704470779e+03	BoneLeftThigh	-1.25642265885590187e-02	1.23860143069929582e-01	5.68060456771188327e-01	-8.12651567117160653e+02	-1.09323248233372897e+03	2.33699836216589347e+03	BoneLeftThigh	7.42489106709547791e-03	1.10121412917821057e-01	6.01916631023991511e-01	9.21763390239604405e+02	1.64126331731927605e-09	1.34854894878814576e+02
